Wyssachen;1124
Attiswil;1546
Berken;47
Bettenhausen;692
Farnern;226
Graben;337
Heimenhausen;1219
Herzogenbuchsee;7502
Inkwil;676
Niederbipp;5557
Niederönz;1803
Oberbipp;1955
Ochlenberg;536
Rumisberg;493
Seeberg;1599
Thörigen;1193
Walliswil Bei Niederbipp;222
Walliswil Bei Wangen;632
Wangen An Der Aare;2920
Wiedlisbach;2654
;
Aefligen;1140
Alchenstorf;634
Burgdorf;17292
Ersigen;2032
Hasle Bei Burgdorf;3402
Heimiswil;1629
Hellsau;213
Hindelbank;2794
Höchstetten;253
Kernenried;534
Kirchberg (Be);5922
Koppigen;2281
Krauchthal;2381
Lyssach;1484
Oberburg;2990
Rüdtligen-Alchenflüh;2490
Rumendingen;91
Rüti Bei Lyssach;163
Willadingen;196
Wynigen;2097
Bätterkinden;3375
Utzenstorf;4469
Wiler Bei Utzenstorf;1032
Zielebach;323
Eggiwil;2451
Langnau Im Emmental;9574
Lauperswil;2712
Röthenbach Im Emmental;1200
Rüderswil;2390
Schangnau;924
Signau;2698
Trub;1277
Trubschachen;1510
Affoltern Im Emmental;1211
Dürrenroth;1077
Lützelflüh;4372
Rüegsau;3295
Sumiswald;5209
Trachselwald;916
;
Meikirch;2600
Bern;137995
Bolligen;6374
Bremgarten Bei Bern;4424
Kirchlindach;3341
Köniz;43508
Muri Bei Bern;13712
Oberbalm;865
Stettlen;3384
Vechigen;5982
Wohlen Bei Bern;9283
Zollikofen;11591
Ittigen;11546
Ostermundigen;18326
Bäriswil;1119
Deisswil Bei Münchenbuchsee;85
Fraubrunnen;5498
Jegenstorf;5872
Iffwil;445
Mattstetten;599
Moosseedorf;4155
Münchenbuchsee;10696
Urtenen-Schönbühl;6545
Wiggiswil;96
Zuzwil (Be);555
Arni (Be);983
Biglen;1856
Bowil;1293
Brenzikofen;534
Freimettigen;453
Grosshöchstetten;4071
Häutligen;268
Herbligen;640
Kiesen;990
Konolfingen;5485
Landiswil;623
Linden;1275
Mirchel;561
Münsingen;13049
Niederhünigen;710
Oberdiessbach;3723
Oberthal;706
Oppligen;660
Rubigen;2894
Walkringen;1829
Worb;11595
Zäziwil;1668
Oberhünigen;333
Allmendingen;532
Wichtrach;4466
Ferenbalm;1253
Frauenkappelen;1470
Gurbrü;249
Kriechenwil;437
Laupen;3285
Mühleberg;3097
Münchenwiler;588
Neuenegg;5730
Wileroltigen;380
Guggisberg;1493
Rüschegg;1738
Schwarzenburg;6795
Belp;11718
Gerzensee;1301
Jaberg;305
Kaufdorf;1101
Kehrsatz;4670
Kirchdorf (Be);1853
Niedermuhlern;521
Riggisberg;3184
Rüeggisberg;1745
Toffen;2661
Wald (Be);1198
Thurnen;2060
;
Reutigen;1393
Stocken-Höfen;1018
Burgistein;1069
Gurzelen;876
Seftigen;2188
Uttigen;2176
Wattenwil;3230
Amsoldingen;834
Blumenstein;1308
Buchholterberg;1552
Eriz;480
Fahrni;800
Heiligenschwendi;721
Heimberg;7079
Hilterfingen;4095
Homberg;500
Horrenbach-Buchen;224
Oberhofen Am Thunersee;2523
Oberlangenegg;473
Pohlern;247
Sigriswil;4871
Steffisburg;16581
Teuffenthal (Be);154
Thierachern;2539
Thun;44125
Uebeschi;707
Uetendorf;6067
Unterlangenegg;1072
Wachseldorn;238
Forst-Längenbühl;779
;
Boltigen;1272
Lenk;2322
St Stephan;1326
Zweisimmen;3059
Gsteig;1028
Lauenen;865
Saanen;6924
;
Adelboden;3420
Aeschi Bei Spiez;2325
Frutigen;7100
Kandergrund;810
Kandersteg;1299
Krattigen;1130
Reichenbach Im Kandertal;3792
Därstetten;868
Diemtigen;2304
Erlenbach Im Simmental;1731
Oberwil Im Simmental;845
Spiez;13342
Wimmis;2735
;
Beatenberg;1229
Bönigen;2786
Brienz (Be);3256
Brienzwiler;514
Därligen;416
Grindelwald;3930
Gsteigwiler;436
Gündlischwand;344
Habkern;629
Hofstetten Bei Brienz;529
Interlaken;6123
Iseltwald;401
Lauterbrunnen;2331
Leissigen;1205
Lütschental;239
Matten Bei Interlaken;4201
Niederried Bei Interlaken;366
Oberried Am Brienzersee;481
Ringgenberg (Be);2655
Saxeten;98
Schwanden Bei Brienz;668
Unterseen;5708
Wilderswil;2768
Guttannen;241
Hasliberg;1129
Innertkirchen;1079
Meiringen;4814
Schattenhalb;586
;
;
Luzern;86234
;
Adligenswil;5617
Buchrain;6807
Dierikon;1685
Ebikon;14788
Gisikon;1515
Greppen;1219
Honau;579
Horw;15817
Kriens;30008
Malters;7868
Meggen;7795
Meierskappel;1595
Root;6064
Schwarzenberg;1817
Udligenswil;2475
Vitznau;1476
Weggis;4707
;
Aesch (Lu);1453
Ballwil;2840
Emmen;32619
Ermensee;1044
Eschenbach (Lu);3779
Hitzkirch;6086
Hochdorf;10067
Hohenrain;2462
Inwil;2924
Rain;3314
Römerswil;1788
Rothenburg;7863
Schongau;1069
;
Beromünster;6830
Büron;2768
Buttisholz;3486
Eich;1750
Geuensee;2941
Grosswangen;3524
Hildisrieden;2502
Knutwil;2516
Mauensee;1510
Neuenkirch;7229
Nottwil;4120
Oberkirch;5106
Rickenbach (Lu);3884
Ruswil;7541
Schenkon;3117
Schlierbach;1008
Sempach;4380
Sursee;11029
Triengen;4923
;
Alberswil;735
Altbüron;1014
Altishofen;2057
Dagmersellen;6004
Egolzwil;1664
Ettiswil;2904
Fischbach;724
Grossdietwil;920
Hergiswil Bei Willisau;1944
Luthern;1240
Menznau;3149
Nebikon;2941
Pfaffnau;2777
Reiden;7674
